epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.586,0.93994,1.73367,1.5224,0.49634,0.39092,0.36275,0.2306,1.2961,1.98496,2.05815,0.00027719,0.00027719,0.00027719
2,654.024,1.02047,1.599,1.57085,0.32884,0.55198,0.42665,0.2946,1.04717,1.72901,1.65352,0.00054387,0.00054387,0.00054387
3,1017.31,0.97384,1.51858,1.52874,0.34672,0.52722,0.42213,0.30612,0.97377,1.62353,1.60598,0.000799555,0.000799555,0.000799555
4,1389.96,0.93178,1.44568,1.49169,0.39074,0.55234,0.47383,0.34594,1.00321,1.51189,1.56384,0.00078352,0.00078352,0.00078352
5,1659.39,0.85932,1.35014,1.44047,0.33257,0.55767,0.49725,0.34848,1.00941,1.88525,1.62752,0.000767026,0.000767026,0.000767026
6,2054.57,0.83247,1.29922,1.40779,0.45959,0.57451,0.53266,0.39523,0.91206,1.41432,1.49229,0.000750533,0.000750533,0.000750533
7,2409.89,0.80417,1.24587,1.3826,0.511,0.61035,0.53171,0.40724,0.86096,1.40903,1.37127,0.00073404,0.00073404,0.00073404
8,2752.94,0.77729,1.17449,1.36708,0.5681,0.57967,0.60041,0.48552,0.73855,1.25989,1.27092,0.000717546,0.000717546,0.000717546
9,3111.08,0.758,1.15778,1.33921,0.568,0.5781,0.59845,0.4579,0.88193,1.28188,1.3898,0.000701053,0.000701053,0.000701053
10,3375.12,0.73197,1.14262,1.32889,0.41887,0.63995,0.59985,0.48578,0.75779,1.32496,1.27296,0.000684559,0.000684559,0.000684559
11,3636.82,0.72353,1.09526,1.32325,0.5417,0.6905,0.62853,0.52167,0.68277,1.14068,1.18911,0.000668066,0.000668066,0.000668066
12,3945.96,0.69558,1.07188,1.30105,0.49198,0.65512,0.63438,0.54499,0.58591,1.15481,1.08569,0.000651573,0.000651573,0.000651573
13,4181.22,0.6944,1.03487,1.30016,0.67761,0.65214,0.68898,0.56767,0.70322,1.06155,1.18142,0.000635079,0.000635079,0.000635079
14,4638.33,0.68865,1.00477,1.2903,0.65483,0.68666,0.68761,0.57836,0.66116,1.07985,1.15282,0.000618586,0.000618586,0.000618586
15,4917.79,0.6645,0.97467,1.27668,0.7253,0.67365,0.72816,0.61926,0.63595,0.99189,1.13325,0.000602092,0.000602092,0.000602092
16,5181.48,0.67499,0.96815,1.27984,0.70054,0.65334,0.71664,0.60583,0.63262,0.98563,1.11165,0.000585599,0.000585599,0.000585599
17,5445.39,0.65658,0.93492,1.2635,0.67612,0.73519,0.72993,0.64171,0.55874,0.95837,1.0549,0.000569106,0.000569106,0.000569106
18,5723.62,0.64974,0.90872,1.251,0.65831,0.69861,0.73527,0.63667,0.57292,0.90244,1.07479,0.000552612,0.000552612,0.000552612
19,6061.9,0.63589,0.89573,1.24905,0.64777,0.7409,0.73919,0.65255,0.55108,0.92429,1.05558,0.000536119,0.000536119,0.000536119
20,6425.99,0.62848,0.87456,1.24088,0.67581,0.73584,0.76219,0.66504,0.54986,0.89617,1.07607,0.000519625,0.000519625,0.000519625
21,6783.16,0.62662,0.85466,1.24148,0.71876,0.75275,0.78165,0.69078,0.55223,0.85155,1.03979,0.000503132,0.000503132,0.000503132
22,438.674,0.63784,0.8404,1.26717,0.75539,0.67926,0.76736,0.65436,0.61251,0.84469,1.11502,0.000486639,0.000486639,0.000486639
23,916.41,0.62414,0.8313,1.23946,0.71265,0.72558,0.75192,0.66519,0.59013,0.90026,1.08587,0.000470145,0.000470145,0.000470145
24,1340.88,0.61347,0.80149,1.23393,0.67101,0.7442,0.74985,0.6563,0.55462,0.91034,1.05317,0.000453652,0.000453652,0.000453652
25,1782.66,0.60801,0.79126,1.22455,0.69941,0.74568,0.77574,0.67798,0.55404,0.87719,1.02874,0.000437158,0.000437158,0.000437158
26,2172,0.58925,0.75702,1.2167,0.74865,0.73327,0.78664,0.69414,0.51906,0.83207,1.00881,0.000420665,0.000420665,0.000420665
27,2593.4,0.58598,0.77038,1.20803,0.71542,0.72723,0.76635,0.68068,0.50439,0.85847,0.99045,0.000404172,0.000404172,0.000404172
28,3017.39,0.5907,0.74772,1.21179,0.66817,0.73771,0.77107,0.68783,0.51764,0.86527,0.99559,0.000387678,0.000387678,0.000387678
29,3459.69,0.58082,0.72668,1.20622,0.78097,0.73823,0.80516,0.71854,0.49374,0.83,0.97797,0.000371185,0.000371185,0.000371185
30,3896.03,0.57588,0.72384,1.19483,0.71706,0.70728,0.78502,0.6924,0.51257,0.87764,0.97604,0.000354691,0.000354691,0.000354691
31,4368.14,0.56717,0.72467,1.19658,0.78227,0.76089,0.82416,0.73693,0.49736,0.75764,0.97779,0.000338198,0.000338198,0.000338198
32,4766.49,0.567,0.70003,1.19478,0.80706,0.77939,0.82482,0.74227,0.46877,0.71507,0.94577,0.000321705,0.000321705,0.000321705
33,5193.81,0.55654,0.69334,1.19036,0.7795,0.77208,0.83449,0.73959,0.49377,0.70731,0.97552,0.000305211,0.000305211,0.000305211
